"Week_start_dates","Bakery","Dry_and_baking","Dairy","Canned","Frozen","Beverages","Health_and_beauty","Produce"
2012-02-12,176.86,152.65,114.96,109.5,109.21,96.83,83.26,8.31
2012-02-19,163.05,160.8,132.3,120.77,106.43,100.06,80.84,9.79
2012-02-26,188.52,160.46,138.88,123.85,117.05,96.27,77.56,13.16
2012-03-04,149.38,142.69,147.43,103.28,98.3,82.13,68.73,14.35
2012-03-11,133.88,140.34,127.63,110.6,112.6,83.58,71.81,11.31
2012-03-18,160.26,144.04,124.49,116.44,110.51,90.82,66.81,8.91
2012-03-25,152.47,141.5,124.98,99.15,101.82,89.85,70.64,14.47
2012-04-01,145.96,136.32,133.15,88.33,77.11,75.93,58.1,11.55
2012-04-08,144.85,122.32,109.67,88.83,94.81,85.58,64.49,10.01
2012-04-15,151.83,110.72,120.77,96.56,88.74,88.44,63.13,11.25
2012-04-22,167.1,127.41,107.01,91.77,92.54,71.44,69.8,12.8
2012-04-29,156.54,142.95,130.14,86.64,85.73,78.23,66.6,11.63
2012-05-06,152.14,124.91,123.03,98.27,93.54,94.71,71.53,9.09
2012-05-13,159.13,126.8,136.02,108.72,100.12,88.91,69.01,14.37
2012-05-20,158.36,132.11,135.96,109.4,99.44,93.61,64.83,12.96
2012-05-27,141.07,147.73,134.12,122.33,101.6,92.27,71.25,7.37
2012-06-03,167.19,124.63,138.98,115.28,118.47,102.6,82.1,10.79
2012-06-10,156.85,146.73,136.96,116.9,112.55,99.96,80.94,10.65
2012-06-17,153.16,148.01,140.17,113.95,110.57,94.55,80.69,12.83
2012-06-24,164.51,168.55,141.29,109,110.32,105.07,82.36,8.13
2012-07-01,180.43,160.71,168.24,150.2,133.77,125.77,101.36,17.14
2012-07-08,189.49,156.65,151.05,131.7,128.43,111.99,106.83,13.69
2012-07-15,181.91,191.66,144.85,142.1,127.61,114.03,101.11,16.25
2012-07-22,179.13,165.18,161.68,146.23,126.77,112.05,94.52,15.01
2012-07-29,189.72,167.1,159.28,133.78,134.82,119.81,96.73,12.69
2012-08-05,206.03,178.22,181.76,168.5,158.71,156.88,128.86,12.11
2012-08-12,212.37,195.74,191.16,167.16,157.55,145.71,127.72,8.5
2012-08-19,216,192.88,182.47,164.59,155.97,144.31,125.18,7.11
2012-08-26,228.62,183.71,183.35,162.13,147.27,145.34,128.27,14.88
2012-09-02,274.67,259.85,246.9,224.25,216.85,208.23,189.46,9.03
2012-09-09,274.79,238.82,251.66,228.78,218.74,211.78,194.54,16.46
2012-09-16,280.33,266.42,249.42,232.85,219.03,211.14,191.75,12.65
2012-09-23,271.44,252.94,250.59,214.8,206.38,202.03,186.53,15.39
2012-09-30,285.1,250,241.7,218.32,223.33,209.38,185.15,10.28
2012-10-07,460.35,430.03,427.09,411.19,404.45,402.66,371.5,371.94
2012-10-14,459.55,435.82,421.75,403.06,396.05,389.09,372.4,371.4
2012-10-21,443.34,422.61,437.4,412.18,402.47,382.06,369.74,371.35
2012-10-28,460.37,446.77,423.59,400.69,401.37,380.09,368.43,373.64
2012-11-04,259.1,235.48,240.23,229.9,215.68,214.58,188.78,12.64
2012-11-11,270.6,251.9,248.66,235.03,221.99,213.39,191.79,11.66
2012-11-18,266.06,249.93,235.75,236.52,218.46,207.05,192.49,8.82
2012-11-25,262.26,255.33,247.26,220.21,224.07,205.98,190,12.35
2012-12-02,202.55,186.36,182.94,167.5,166.31,149.49,131.94,9.54
2012-12-09,202.13,200.21,187.75,158.44,156.03,151.46,130.38,11.92
2012-12-16,224.04,193.7,190.17,155.05,159.96,152.97,130.32,13.96
2012-12-23,204.18,177.87,190.21,161.7,169.6,150.16,130.28,16.3
2012-12-30,206.96,193.02,180.93,170.68,151.15,138.56,134.03,12
2013-01-06,235.7,210.89,211.63,179.78,173.92,156.98,137.47,6.99
2013-01-13,230.32,207.01,198.28,172.2,184.04,169.67,146.36,10.95
2013-01-20,231.86,201.37,200.78,172.87,179.46,160.89,141.79,15.47
2013-01-27,236.57,212.69,198.44,189.22,180.85,169.67,146.63,15.85
2013-02-03,207.54,177.69,159.92,151.24,146.52,143.3,117.77,20.17
2013-02-10,220.63,181.77,165.44,160.13,143.71,128.6,117.48,16.89
2013-02-17,199.15,180.43,185.67,155.82,153.83,141.02,116.7,10.02
2013-02-24,203.95,173.14,174.19,142.56,147.86,134.71,121.98,6.41
2013-03-03,199.16,180.05,161.19,137.4,128.45,118.18,100.65,6.7
2013-03-10,200.13,164.57,154.76,128.46,127.65,119.69,98.57,16.34
2013-03-17,200.82,176.76,180.74,140.27,128.92,121.09,97.09,15.04
2013-03-24,184.4,167.85,135.91,138.09,133.71,116,98.38,9.38
2013-03-31,186.77,158.37,170.84,147.8,127.69,122.24,98.13,12.79
2013-04-07,183.33,138.9,163.41,146.85,125.2,104.06,85.39,7.22
2013-04-14,170.15,161.14,146.77,129.66,112.29,107.43,93.07,8.23
2013-04-21,188.39,152.68,136.94,107.99,114.86,112.24,85.71,14.49
2013-04-28,167.56,146.89,137.75,131.34,115.25,106.65,84.76,9.89
2013-05-05,210.77,155.15,159.61,139.12,128.29,118.95,92.94,14.52
2013-05-12,186.43,161.09,156.89,141.04,115.16,121.1,100.03,20.17
2013-05-19,193.46,163.63,163.08,130.86,125.1,113.86,100.26,15.02
2013-05-26,188.3,180.49,162.84,137.4,121.96,117.96,97.81,16.01
2013-06-02,198.99,181.29,164.53,153.65,142.93,140.68,115.13,8.77
2013-06-09,207.27,182.87,176.02,154.9,139.62,144.14,116.59,17.9
2013-06-16,205.57,202.67,173.97,148.97,148.95,144.34,125.11,10.08
2013-06-23,191.06,171.18,164.3,148.74,132.28,128.01,119.71,5.42
2013-06-30,218.47,183.94,171.85,167.37,154.25,130.42,117.62,9.3
2013-07-07,255.34,232.07,197.8,166.08,162.89,169.14,142.96,8.58
2013-07-14,218.67,225.58,205.31,188.84,174.87,162.47,145.95,11.01
2013-07-21,221.01,214.62,200.32,175.43,172.86,166.13,147.14,10.75
2013-07-28,240.13,216.19,209.08,184.48,174.12,169.5,142.97,7.86
2013-08-04,287.35,250.74,259.63,227.77,223.29,218.47,191.24,13.48
2013-08-11,267.9,261.55,246.17,221.71,224.13,205.47,189.45,15.94
2013-08-18,270.93,270.19,249.42,216.42,224.83,213.29,184.35,15.99
2013-08-25,265.32,268.93,247.18,222.86,210.24,215.83,191.03,17.26
2013-09-01,382.59,339.69,347.31,323.1,310.38,299.61,279.61,10.11
2013-09-08,357.44,331.5,338.51,321.04,299.2,304.08,281.2,7.56
2013-09-15,365.89,354.12,351.84,317.13,303.25,305.26,278.25,7.66
2013-09-22,372.13,364.63,315.73,312.39,298.81,299.29,282.74,11.38
2013-09-29,350.01,348.62,348.61,306.98,302.02,304.8,275.05,9.41
2013-10-06,626.91,622.84,611,585.71,566.52,570.15,545.77,554.67
2013-10-13,631.33,634.57,610.3,588.18,568.24,570.79,547.95,556.68
2013-10-20,630.52,625.44,614.8,574.74,570.04,570.34,547.27,542.52
2013-10-27,652.43,625.7,599.86,576.58,574.29,562.05,546.33,554.51
2013-11-03,366.86,348.33,330.63,335.09,295.56,301.72,274.75,13.12
2013-11-10,355.92,342.99,335.78,317.21,315.95,299.07,277.53,13.46
2013-11-17,379.82,353.61,336.91,318.65,301.4,295.53,281.97,10.8
2013-11-24,372.49,344.44,352.67,313.44,305.9,298.38,279.93,13.74
2013-12-01,282.06,255.7,244.54,230.97,218.5,217.24,192.56,7.76
2013-12-08,281.34,267.03,246.8,233.99,223.83,211.24,188.12,4.88
2013-12-15,276.64,274.35,244.84,213.48,228.8,211.53,190.99,9.08
2013-12-22,278,252.89,243.45,234.47,222.1,210.22,192.65,18.44
2013-12-29,271.96,248.12,243.07,234.23,214.6,200.24,187.94,16.81
2014-01-05,248.78,224.37,219.42,201.5,197.04,172.84,156.03,13.27
2014-01-12,243.55,215.09,212.48,188.27,205.85,180.7,158.87,6.65
2014-01-19,247.49,227.63,210.91,182.04,197.37,186.77,165.35,15.73
2014-01-26,248.47,221.95,216.24,205.77,191.43,169.64,160.71,12.51
2014-02-02,212.81,188.06,181.94,165.79,159.43,141.29,133.16,9.16
2014-02-09,202.58,188.4,197.41,165.07,154.11,146.97,129.27,12.17
2014-02-16,217.45,193.61,191.89,161.23,152.98,140.84,130.51,5.7
2014-02-23,225.14,197.45,180.73,150.85,162.57,144.55,128.08,10.82
2014-03-02,209.8,167.43,175.92,141.19,135.07,122.84,110.37,9.29
2014-03-09,214.69,184.74,171.2,151.82,137.74,125.05,112.52,8.54
2014-03-16,196.61,165.53,172.89,150.31,136.85,130.27,111.83,11.12
2014-03-23,195.62,182,161.77,146.3,137.64,123.73,108.39,13.36
2014-03-30,197.12,174.72,164.9,158.19,132,123.78,108.88,8.32
2014-04-06,178.96,150.28,160.48,135.29,116.17,111.73,94.93,12.76
2014-04-13,197.72,176.54,160.88,117.37,126.2,117.67,88.79,12.28
2014-04-20,178.67,156.48,156.46,130.2,108.08,106.64,89.16,7.22
2014-04-27,195.08,166.05,143.2,137.28,124.61,122.16,95.11,14.21
2014-05-04,203.84,179.96,164.91,148.97,140.35,125.31,109.92,10
2014-05-11,206.59,184.48,163.17,153.22,142.51,132.21,111.76,15.34
2014-05-18,191.68,182.35,191.28,146.45,135.21,132.15,105.38,5.52
2014-05-25,200.87,176.75,165.13,150.65,137.21,133.45,113.96,11.16
2014-06-01,224.32,207.97,171.33,175.33,156.19,144.16,129.49,18.09
2014-06-08,214.28,197.41,183.7,172.39,166.05,138.2,124.68,11.64
2014-06-15,225.16,188.72,192.81,158.83,153.85,153.43,123.87,20.74
2014-06-22,198.69,209.33,186.52,177.42,152.96,146.37,136.3,10.86
2014-06-29,215.58,181.8,190.49,179.28,162.14,146.83,127.01,16.63
2014-07-06,237.16,235.06,220.99,193.94,191.91,181.68,155.66,9.84
2014-07-13,252,228.11,225.7,199.09,199.56,176.81,152.87,11.45
2014-07-20,234.85,223.59,228.75,197.91,185.86,182.21,160.99,12.56
2014-07-27,259.64,214,217.58,197.86,192.11,177.77,156.03,12.92
2014-08-03,286.02,283.26,262.66,241.13,238.63,225.64,206.77,9.94
2014-08-10,283.96,273.12,279.2,251.51,235.97,227.31,203.59,17.36
2014-08-17,288.99,271.62,257.12,252.93,237.85,228.15,209.59,8.52
2014-08-24,295.46,281.47,268.93,254.49,233.17,232.98,209.39,12.15
2014-08-31,286.76,266.46,269.82,239.31,245.46,239.37,207.86,10.1
2014-09-07,377.32,379.47,381.32,348.33,344.95,330,310.5,14.54
2014-09-14,395.29,372.95,367.42,352.96,344.54,333.69,308.86,8.37
2014-09-21,404.52,378.1,356.42,349.85,336.75,324.4,308.58,9.29
2014-09-28,411.32,372,353.55,361.56,338.21,327.04,305.4,15.24
2014-10-05,690.64,686.25,663.56,643.06,634.61,618.34,607.23,607.12
2014-10-12,696.56,675.64,672.41,640.39,631.11,619.92,614.22,611.57
2014-10-19,685.57,659.44,667.8,641.36,636.14,636.97,608.49,617.37
2014-10-26,706.68,669.7,670.07,637.89,644.74,622.65,609.98,614.41
2014-11-02,407.51,368.38,358.14,349.38,338.97,328.56,306.28,8.42
2014-11-09,397.86,397.94,371.79,338.68,342.48,331.79,309.88,11.56
2014-11-16,405.89,378.34,371.98,344.89,346.32,327.45,313.43,4.3
2014-11-23,401.17,384.43,367.57,356.63,343.18,325.66,306.85,12.17
2014-11-30,401.83,382.15,378.4,340.86,338.79,339.23,311.13,12.03
2014-12-07,307.64,281.14,262.36,248.6,246.77,238.9,211.26,9.74
2014-12-14,288.83,270.49,265.56,250.75,241.04,229.73,212.17,7.46
2014-12-21,305.61,277,257.97,249.96,230.43,230.49,208.24,6.36
2014-12-28,288.19,285.55,267.78,244.47,231.41,225.27,209.63,8.44
2015-01-04,253.57,243.81,220.63,206.89,188.66,185.7,169.65,13.51
2015-01-11,257.36,238.09,223,217.3,200.99,193.36,168.38,11.21
2015-01-18,251.11,242.49,230.18,211.18,192.42,183.65,165.14,17.19
2015-01-25,269.07,227.35,229.56,210.41,190.99,185.25,174.6,9.63
2015-02-01,230.33,208.79,196.3,182.31,161.65,143.9,141.73,10.95
2015-02-08,212.64,202.12,201.99,178.79,179.57,159.91,135.55,12.46
2015-02-15,216.76,210.54,198.87,172.15,158.78,159.76,141.46,17.06
2015-02-22,227.24,187.45,205.7,181.39,166.69,153.09,143.06,13.51
2015-03-01,220.03,180.67,182.86,160.71,141.65,123.02,115.79,10.03
2015-03-08,202.99,188.47,178.89,153.75,151.01,136.98,117.26,10.72
2015-03-15,198.48,192.24,179.95,163.83,148.46,137.21,119.77,11.95
2015-03-22,209.51,184.53,189.48,158.98,136.56,129.24,113.19,10.11
2015-03-29,212.67,200.88,182.37,156.09,140.2,131.74,114.5,6.1
2015-04-05,182.96,161.98,149.4,150.81,136.11,125.69,104.55,14.15
2015-04-12,177.76,164.47,163.25,143.29,135.18,129.24,100.59,3.6
2015-04-19,177.53,170.9,150.97,149.42,125.84,119.79,104.61,16.13
2015-04-26,181.98,166.51,171.95,142.17,122.26,115.36,104.47,11.4
2015-05-03,215.05,182.5,181.05,164.53,150.2,134.78,120.06,13.66
2015-05-10,208.75,182.48,180.36,156.98,156.26,139.87,113.27,11.16
2015-05-17,209.5,178.78,169.09,172.47,140.39,140.55,111.23,12.1
2015-05-24,192.34,191.66,173.88,153.28,143.53,137.31,112.48,5.78
2015-05-31,190.55,187.42,165.65,156,145.06,127.69,121.79,17.59
2015-06-07,225.72,188.23,196.79,172.22,173.57,159,145.71,14.87
2015-06-14,227.78,210.62,186.94,177.35,159.54,167.5,141.05,6.53
2015-06-21,234.28,189.91,204,171.67,169.68,153.77,134.05,14.72
2015-06-28,238.44,204.14,183.38,172.28,163.55,151.52,131.72,8.85
2015-07-05,253.15,236.64,220.68,207.61,191.47,194.05,165.9,11.09
2015-07-12,261.36,231.21,246.63,222.56,197.27,189.26,162.65,5.48
2015-07-19,256.64,233.46,217.78,207.98,191.99,187.52,170.56,10.2
2015-07-26,249.21,248.74,228.17,212.45,199.32,192.36,172.49,13.44
2015-08-02,288.41,290.61,254.71,273.86,248.37,244.72,225.34,9.68
2015-08-09,304.8,289.47,286.14,253.18,245.59,242.25,223.72,16.08
2015-08-16,320.35,282.44,283.91,259.42,254.87,241.52,221.79,11.92
2015-08-23,313.59,287,280.97,258.46,239.74,245.04,226.79,15.56
2015-08-30,305.2,289.56,272.57,260.07,243.78,247.42,224.36,12.76
2015-09-06,416.72,397.82,374.05,357.5,359.74,359.79,330.09,7.31
2015-09-13,429.68,399.18,404.2,372.05,354.79,348.44,335.53,11.66
2015-09-20,415.33,406.11,396.94,367.78,358.59,348.85,331.43,12.16
2015-09-27,406.93,403.58,392.93,370.97,364.46,353.03,330.84,10.87
2015-10-04,734.11,706.48,695.33,684.63,673.59,675.84,654.54,654.47
2015-10-11,740.33,705.57,701.41,694.14,671.51,673.57,653.43,651.99
2015-10-18,723.25,707.01,709.57,689.07,675.99,661.61,649.07,651.32
2015-10-25,731.84,710.92,691.46,680.98,681.57,666.41,641.87,655.22
2015-11-01,406.73,400.02,401.22,372.09,359.99,345.66,331.59,12.35
2015-11-08,416.88,406.67,385.49,375.36,342.8,352.6,331.36,13.44
2015-11-15,430.39,396.74,389.58,380.21,357.89,344.82,334.73,11.33
2015-11-22,403.49,396.5,382.68,351.48,358.35,347.51,328.38,7.64
2015-11-29,434.18,393.68,380.99,368.67,359.29,349.19,331.25,13.32
2015-12-06,312.36,297.57,292.89,260.76,249.06,247.73,220.02,13.28
2015-12-13,296.16,294.63,274.01,267.81,249.86,237.69,215.18,12.12
2015-12-20,304.92,288.66,282.46,260.57,245,245.71,222.42,15.93
2015-12-27,326.97,301.68,284.09,268.07,256.7,252.17,231.13,13.28
2016-01-03,257.43,251.74,225.45,223.73,209.03,193.28,173.74,5.93
2016-01-10,255.39,264.38,221.11,214.95,209.98,194.35,172.86,5.44
2016-01-17,256.39,258.62,236.02,212.83,206.15,197.05,174.14,13.01
2016-01-24,285.31,247.65,221.54,210.12,201.39,194.61,175.49,9.55
2016-01-31,259.38,244.41,235.08,204.3,207.27,192.1,176.1,8.61
2016-02-07,225.1,210.41,201.05,174.27,175.39,153.01,142.66,8.48
2016-02-14,233.44,205.27,198.02,176.19,171.19,160.49,140.43,15.27
2016-02-21,227.91,194.04,187.65,181.32,174.44,160.15,138.8,8.1
2016-02-28,224.64,215.92,192.28,176.02,174.42,169.38,139.19,14.61
2016-03-06,206.43,203.04,182.77,158.9,150.64,150.24,118.4,14.11
2016-03-13,200.82,177.3,171.98,156.21,154.03,147.13,116.6,11.81
2016-03-20,222.77,195.69,181.73,155.29,146.14,137.18,115.49,16.16
2016-03-27,198.39,181.39,173.17,151.38,143.72,134.48,123.6,9.58
2016-04-03,192.39,168.54,161.84,138.29,140.03,120.55,103.61,14.75
2016-04-10,215.22,164.33,169.69,142.66,128.24,120.19,101.65,17.15
2016-04-17,182.8,165.94,158.29,136.76,132.79,122.51,107.36,11.42
2016-04-24,176.79,174.09,165.69,150.24,123.58,123.4,103.74,10.3
2016-05-01,213.81,191.95,176.26,167.6,160.66,139.34,123.34,13.84
2016-05-08,208.44,180.44,182.4,154.25,144.87,137.2,123.81,8.09
2016-05-15,205.44,185.12,184.37,159.4,155.96,137.11,122.82,14.77
2016-05-22,203.14,193.71,176.62,156.87,153.66,146.33,119.18,13.99
2016-05-29,208.2,190.55,183.01,166.5,141.42,142.4,115.75,11.37
2016-06-05,230.74,196.82,210.97,189.79,176.14,156.48,143.16,11.96
2016-06-12,231.63,209.4,205.34,188.63,153.14,159.77,140.98,12.5
2016-06-19,222.78,216.71,200.89,179.81,176.5,164.73,141.77,15.08
2016-06-26,227.23,215.25,187.39,179.21,173.51,157.44,143.59,13.02
2016-07-03,248.86,241.51,239.93,210.91,191.31,197.29,174.63,16.14
2016-07-10,270.51,234.23,237.74,223.12,203.23,198.41,170.58,10.58
2016-07-17,264.61,219.07,240.44,200.71,195.09,185.78,181.28,9.87
2016-07-24,271.24,241.33,236.13,212.8,193.54,189.31,175.98,15.16
2016-07-31,253.14,246.58,241.1,209.82,212.57,188.46,174.35,13.94
2016-08-07,311.91,291.34,284.55,274.73,256.05,244.84,230.76,14.57
2016-08-14,323.57,300.3,288.53,268.28,258.88,253.26,228.24,14.1
2016-08-21,329.51,304.54,293.57,264.79,257.61,246.06,234.9,12.8
2016-08-28,338.15,312.98,301.1,264.48,250.42,256.85,235.34,16.45
2016-09-04,437.82,403.23,382.05,381.79,365.41,367.94,335.71,14.69
2016-09-11,432.97,409.67,395.95,381.61,378.62,362.82,341.7,15.94
2016-09-18,426.53,411.25,404.61,380.05,370.06,361.15,342.29,19.9
2016-09-25,424.36,418.84,412.11,388.93,371.13,360.96,338.14,16
2016-10-02,741.87,737.55,708.73,712.45,713.04,688.67,672.04,670.57
2016-10-09,780.16,734.53,723.6,709.61,702.78,687.34,673.07,667.2
2016-10-16,765.35,731.03,703.12,713.2,692.26,686.78,667.93,673.96
2016-10-23,764.65,734.28,725.42,695.42,706.47,691,673.49,671.53
2016-10-30,755.71,740.93,728.05,713.57,703.16,686.15,668.17,671.22
