"Week_start_dates","Bakery","Dry_and_baking","Dairy","Canned","Frozen","Beverages","Health_and_beauty","Produce"
2010-11-14,187.18,174.88,164.61,131.77,114.23,107.47,86.91,17.59
2010-11-21,192.26,152.11,157.61,145.26,121.37,115.33,90,11.37
2010-11-28,174.39,164.18,148.71,132.13,121.01,115.14,89.1,10.11
2010-12-05,155.6,133.73,141.71,110.92,82.69,83.57,58.33,18.59
2010-12-12,145.65,135.63,113.06,104.8,79.15,82.41,64.25,14.19
2010-12-19,136.27,127.23,121.11,107.18,105.29,80.58,62.04,12.24
2010-12-26,147.59,154.06,131.96,106.22,100.89,89.29,66.98,12.36
2011-01-02,181,162.36,164.37,130.15,124.65,114.9,90.41,11.89
2011-01-09,190.12,164.95,155.1,137.39,112.32,111.24,90.55,14.23
2011-01-16,164.98,160.99,159.15,128.05,112.73,112.25,90.98,12.63
2011-01-23,177.41,156.84,157.22,140.09,129.55,115.7,90.17,16.36
2011-01-30,187.77,147.72,152.68,135.66,115.19,109.64,90.88,15.71
2011-02-06,180.2,146.97,136.21,110.57,101.29,92.16,78.11,11.1
2011-02-13,164.38,141.68,141.2,119.54,97.19,102.75,74.35,14.2
2011-02-20,162.56,146.16,122.68,110.38,100.51,91.61,68.88,17.23
2011-02-27,161.73,150.04,145.2,108.55,119.12,98.38,76.04,8.31
2011-03-06,162.46,144.26,132.63,102.56,97.02,90.99,66.17,15.43
2011-03-13,170.42,129.84,112.07,104.9,96.93,77.96,63.48,14.58
2011-03-20,154.56,113.11,142.25,108.22,104.96,87.34,66.78,13.35
2011-03-27,159.14,124.11,113.4,104.99,97.25,86.6,62.88,14.02
2011-04-03,133.95,130.23,113.77,93.5,82.55,80.91,57.76,20.44
2011-04-10,143,134.88,117.04,115.68,82.45,82.79,55.77,5.81
2011-04-17,148.57,124.59,127.78,101.72,75.99,80.1,58.57,13.35
2011-04-24,164.49,129.44,113.89,113.13,87.98,73.21,59.56,12.99
2011-05-01,156.22,132.26,127.89,103.51,93.8,83.82,62.25,11.95
2011-05-08,171.72,131.3,130.18,114.07,102.34,79.66,59.45,14.01
2011-05-15,169.59,124.06,115.92,101.9,90.95,88.01,59.04,9.85
2011-05-22,144.89,127.38,134.92,101.26,103.09,85.87,59.3,17.47
2011-05-29,158.84,131.61,136.23,103.88,97.56,80.95,66.01,12.33
2011-06-05,161.47,136.44,147.21,114.62,98.64,100.88,70.26,8.64
2011-06-12,160.98,161.38,150.34,125.85,95.97,95.71,69.7,16.8
2011-06-19,156.67,147.6,133.85,113.85,103.02,96.79,76.66,12.79
2011-06-26,178.31,141.49,137.21,122.51,120.15,96.23,73.68,12.54
2011-07-03,187.05,165.96,147.77,121.98,114.7,106.68,85.64,5.36
2011-07-10,182.44,148.45,163.84,133.56,131.03,113.44,93.25,12.01
2011-07-17,195.07,173.74,154.9,118.11,128.97,110.13,91.16,9.35
2011-07-24,188.12,169.9,150.16,136.48,127.87,102.71,96.3,15.04
2011-07-31,191.29,156.52,168.25,131.45,109.91,111.82,83.31,19.46
2011-08-07,211.66,181.08,178.37,171.16,146.21,137.51,111.85,8.62
2011-08-14,210.4,191.99,180.52,171.83,155.26,134.35,113.93,15.38
2011-08-21,209.83,191.41,179.4,159.74,140.87,130.09,118.51,11.54
2011-08-28,192.93,184,194.73,153.89,149.7,139.49,115.48,15.59
2011-09-04,259.52,222.61,232.01,218.58,208.41,195.9,169.49,16.13
2011-09-11,255.45,243.37,229.45,203.01,207.38,179.11,172.45,12.28
2011-09-18,270.06,229.59,232.39,211.51,203.73,184.65,173.27,9.73
2011-09-25,263.63,247.83,232.95,205.53,201.34,196.25,174.23,7.88
2011-10-02,437.24,400.16,388.22,366.43,367.15,352.77,330.9,335.16
2011-10-09,410.44,390.51,406.2,376.43,355.2,348.23,331.09,334.71
2011-10-16,436.76,396.79,396.65,373.39,349.39,350.19,330.9,333
2011-10-23,424.46,403.7,404.81,369.3,361.07,357.47,326.27,332.8
2011-10-30,410.19,409.29,402.71,382.23,363.55,356.24,333.9,327.27
2011-11-06,257.02,234.91,249.63,205.63,196.29,184.48,169.91,10.48
2011-11-13,254.84,247.41,225.35,204.1,198.56,194.77,166.18,8.89
2011-11-20,261.5,243.23,228.31,205.44,197.94,193.35,165.91,6.05
2011-11-27,277.99,242,231.79,209.04,203.65,183.62,169.56,16.15
2011-12-04,206.52,182.84,193.56,159.89,157.02,139.97,113.72,9.96
2011-12-11,184.32,192.35,184.2,157,147.63,130.03,115.79,14.55
2011-12-18,204.41,177.51,190.08,148.1,147.54,144.29,121.79,7.44
2011-12-25,194.83,185.37,166,160.03,145.72,138.56,110.15,12
2012-01-01,186.23,170.93,158.68,131.74,126.77,113.82,98.84,14.37
2012-01-08,190.33,177.14,170.03,150.62,137.82,124.11,100.08,16.12
2012-01-15,185.4,174.99,168.72,147.1,138.34,123.19,99,13.65
2012-01-22,202.43,173.79,164.78,137.36,129.24,114.1,102.95,12.36
2012-01-29,196.7,163.84,154.33,142.88,125.1,127.01,96.34,15.74
2012-02-05,181.01,162,140.56,143.96,114.73,104.69,75.6,13.87
2012-02-12,174.13,138.47,147.22,123.53,121.11,104.41,79.23,18.79
2012-02-19,171.84,144.9,140.62,129.53,115.03,106.42,83.29,14.73
2012-02-26,183.19,140.87,146.35,128.44,114.27,110.13,82.39,11.52
2012-03-04,155.16,151.35,135.33,109.19,110.16,95.75,77.71,18.77
2012-03-11,177.85,155.71,133.2,112.84,103.69,87.18,71.77,18.54
2012-03-18,181.82,149.68,134.99,105.62,91.96,92.08,64.89,10.05
2012-03-25,173.08,147.25,137.04,100.85,105.06,89.23,67.79,6.81
2012-04-01,157.86,136.03,121.01,102.78,87.15,90.12,56.79,9.86
2012-04-08,150.76,132.87,130.78,108.46,84.38,85.09,64.02,12.12
2012-04-15,143.64,135.39,128.74,102.16,94.03,95.06,62.3,13.97
2012-04-22,160.57,131.3,130.25,103.58,83.86,88.37,59.99,17.25
2012-04-29,139.31,134.23,129.21,104.53,102.23,74.15,61.57,18.7
2012-05-06,164.64,137.39,129.33,114.78,108.56,85.51,72.08,18.61
2012-05-13,153.85,132.99,124.67,99.3,95.02,94.86,71.22,11.78
2012-05-20,133.73,138.83,125.8,108.65,100.92,92.83,66.55,16.76
2012-05-27,164.81,132.4,133.83,113.35,106.5,94.56,70.14,6.37
2012-06-03,179.16,164.59,151.68,112.98,108.3,94.92,89.89,7.74
2012-06-10,162.29,141.46,144.51,124.84,119.48,112.14,84.53,15.05
2012-06-17,176.09,149.74,146.95,129.04,122.11,110.82,87.32,13.36
2012-06-24,162.81,144.94,145.99,136.88,123.66,99.11,83.08,9.8
2012-07-01,184.13,179.08,160.05,149.35,128.98,116.91,99.95,6.54
2012-07-08,188.8,170.58,151.87,138.89,124.95,115.45,104.38,11.33
2012-07-15,181.65,170.32,153.11,136.35,135.64,118.4,104.26,13.73
2012-07-22,195.86,169.51,152.92,148.32,131.86,121.95,103.34,13.35
2012-07-29,200.24,159.36,166.75,130.33,140.86,122.16,99.8,13.86
2012-08-05,240.92,202.34,198.2,176.86,172.67,147.78,127.58,15.1
2012-08-12,229.7,201.06,197.25,170.76,157.47,149.83,128.43,13.49
2012-08-19,225.32,189.75,195.08,172.16,153.12,157.47,127.31,12.46
2012-08-26,208.7,207.35,189.53,173.87,165.78,150.43,128.6,16.63
2012-09-02,295.32,267.33,253.11,224.44,228.29,200.16,190.29,16.35
2012-09-09,288.75,260.06,251.39,242.31,208.59,206.32,186.91,12.75
2012-09-16,300.98,265.06,249.26,228.63,209.09,205.39,191.88,6.53
2012-09-23,279.41,253.85,252.56,240.87,226.47,209.28,187.47,12.95
2012-09-30,259.6,267.09,253.92,237.88,215.67,205.27,191.56,14.46
2012-10-07,445.25,451.16,436.19,420.3,398.45,398.41,368.32,372.45
2012-10-14,456.1,453.96,431.18,411.62,402.07,387.66,375.87,370.77
2012-10-21,465.1,431,425.32,414.73,405.71,391.67,367.17,376.6
2012-10-28,447.63,445.78,428.58,413.32,398.24,395.8,374.96,368.41
2012-11-04,297.94,266.1,270.44,231.96,227.82,223.02,188.12,12.11
2012-11-11,281.45,263.13,258.65,240.6,220.22,224.69,192.94,20.3
2012-11-18,259.07,257.04,247.64,226.05,222.87,210.1,185.36,10.95
2012-11-25,279.34,258.99,239.71,229.15,221.07,213.18,186.05,7.25
2012-12-02,229.38,203.96,200.31,166.01,157.52,145.98,124.92,16.13
2012-12-09,220.48,209.07,188.67,167.16,165.58,147.31,126.82,13.46
2012-12-16,235.2,210.93,193.94,177.45,173.75,143.43,136.61,10.17
2012-12-23,220.9,188.47,193.66,189.19,169.17,149.45,131.59,11.96
2012-12-30,220.99,214.13,187.8,182.58,158.69,150.92,129.21,8.1
2013-01-06,242.66,212.69,198.54,196.85,175.73,172.33,142.43,13.33
2013-01-13,230.27,211.33,224.66,178.54,177.68,164.67,145.66,13.81
2013-01-20,227.79,218.35,205.96,181.83,186.84,155.25,139.26,18.39
2013-01-27,238.92,207.88,209.53,177.57,170.8,160.95,142.8,10.03
2013-02-03,223.91,206.65,168.06,145.24,138.47,142.4,122.66,6.02
2013-02-10,195.17,182.3,172.89,157.19,146.27,128.2,123.95,8.39
2013-02-17,231.94,182.69,195.12,157.42,146.1,144.95,117.77,5.34
2013-02-24,206.53,195.59,192.56,162.37,151.29,144.34,112.24,11.4
2013-03-03,196.78,170.73,153.29,128.7,130.3,115.24,99.86,16.68
2013-03-10,182.22,176.92,160.42,144.85,130.81,121.18,94.72,12.09
2013-03-17,187.31,177.77,154.26,158.92,123.05,126.32,102.83,12.71
2013-03-24,184.88,188.65,176.85,151.87,122.09,122.51,100.91,10.99
2013-03-31,197.15,164.65,176.4,136.99,131.62,118.4,98.68,10.55
2013-04-07,178,170.09,155.27,123.18,121.31,114.34,87.79,12.66
2013-04-14,176.22,151.23,167.87,129.65,132.68,115.54,91.41,15.58
2013-04-21,172.14,151.21,165.8,127.2,127.46,99.39,89.52,10.49
2013-04-28,186.29,153.97,149.44,112.52,116.59,114.75,87.44,9.02
2013-05-05,201.82,174.23,165.67,137.48,125.8,127.15,94.38,9.01
2013-05-12,203.37,171.63,161.08,153.75,132.18,123.09,100.53,12.86
2013-05-19,202.3,184.87,156.11,154.39,129.16,116.09,98.23,22.35
2013-05-26,179.15,168.17,161.2,139.56,134.88,116.78,105.43,17.06
2013-06-02,217.4,200.47,188.01,161.38,146.3,137.46,117.38,9.69
2013-06-09,211.5,192.62,172.18,165.52,149.85,145.22,114.4,11.11
2013-06-16,210.57,187.35,168.53,165.6,144.02,143.39,110.86,6.98
2013-06-23,208.24,204.33,186.15,169.28,147.26,135.83,113.5,7.79
2013-06-30,197.7,188.35,202.1,158.34,150.02,143.83,120.48,14.3
2013-07-07,236.89,213.2,201.94,182.64,178.3,166.86,140.83,16.29
2013-07-14,236.38,241.47,195.11,185,180.64,169.62,147.21,13.79
2013-07-21,259.13,217.19,219.73,182.54,186.34,171.9,149.21,12.13
2013-07-28,244.53,228.22,204.04,187.73,175.9,176.27,147.29,18.76
2013-08-04,284.17,255.42,254.01,233.69,230.7,219.56,192.19,9.23
2013-08-11,309.05,267.25,261.1,225.45,222.76,215.59,191.68,14.48
2013-08-18,300.19,280.43,251.64,232.07,216.75,206.55,190.16,9.57
2013-08-25,274.97,252.96,275.56,232.11,215.01,212.98,191.41,12.8
2013-09-01,384.73,339.58,331.71,337.76,312.86,298.52,282.92,11.22
2013-09-08,382.37,360.57,347.01,316.47,313.92,297.86,287.52,11.81
2013-09-15,376.96,352.79,352,325.69,309.22,304.66,282.82,8.1
2013-09-22,373.15,361.25,341.97,336.15,300.68,302.44,279.98,12.78
2013-09-29,372.13,357.8,349.51,310.71,306.79,307.59,275.44,14.32
2013-10-06,643.9,625.73,623.26,590.51,580.72,576.08,548.68,555.37
2013-10-13,644.06,630.41,615.62,584.66,573.3,570.71,555.08,557.11
2013-10-20,635.65,622.63,610.8,592.16,583.03,567.04,552.13,556.45
2013-10-27,634.68,621.15,621.94,598.19,580.85,569.6,551.11,554.34
2013-11-03,386.19,363.98,335.56,320.04,312.5,295.23,274.4,11.58
2013-11-10,380.46,355.61,354.41,320.07,316.17,300.04,282.05,15.57
2013-11-17,391.08,355.19,353.71,313.85,319.56,303.19,283.89,10.71
2013-11-24,380.54,363.29,351.69,328.58,315.92,301.19,280.79,5.13
2013-12-01,284.3,272.06,259.86,240.92,213.96,221.46,194.14,14.47
2013-12-08,290.34,259.13,255.23,222.95,216.57,208.4,192.19,11.51
2013-12-15,288,275.01,250.03,242.4,222.86,212.61,184.14,10.51
2013-12-22,283.5,272.35,251.47,240.35,213.15,208.22,190.53,17.36
2013-12-29,277.41,248.36,254.3,234.18,219.38,211.6,183,14.41
2014-01-05,241.67,234.84,233.64,201.4,188.04,170.6,157.6,7.07
2014-01-12,263.33,230.21,208.74,207.58,190.73,166.23,155.15,12.47
2014-01-19,259.31,224.4,222.11,193.34,190.65,174.61,162.44,15.76
2014-01-26,242.09,236.18,234.27,213.04,193.62,175.22,161.99,13.65
2014-02-02,221.99,195.12,199.68,186.65,172.14,159.13,136.23,16.1
2014-02-09,226.82,200.93,210.43,160.76,163.62,152.81,130.86,14.56
2014-02-16,233.25,203.35,197.16,172.86,160.78,157.71,130.31,11.8
2014-02-23,225.73,206.9,193.64,168.9,164.3,147.92,128.9,13.14
2014-03-02,198.14,176.72,156.14,151.17,143.36,137.23,111.97,19.09
2014-03-09,209.52,167.03,180.43,169.7,140.84,127.81,111.95,14.23
2014-03-16,205.65,195.86,166.01,145.05,149.36,132.36,113.14,12.83
2014-03-23,179.91,176.36,170.39,148.32,132.72,139.63,112.07,7.59
2014-03-30,216.06,197.45,170.55,165.17,134.53,131.16,112.56,14.24
2014-04-06,183.2,159.02,139.84,127.97,128.84,97.5,90.79,21.66
2014-04-13,166.94,168.7,165.76,123.73,139,114.15,98.72,5.55
2014-04-20,208.2,169.38,176.64,131.09,129.99,120.09,96.08,13.77
2014-04-27,182.25,158.27,160.91,134.73,126.52,109.43,101.11,11.53
2014-05-04,205.49,179.66,167.24,153.21,134.34,136.1,114.17,13.7
2014-05-11,201.21,192.92,183.37,158.53,146.48,138.42,109.55,17.97
2014-05-18,209.53,192.32,183.24,156.8,143.82,132.47,110.71,9.49
2014-05-25,200.53,170.43,183.12,142.95,138.88,140.42,110.82,12.66
2014-06-01,221.32,204.44,196.63,171.58,165.5,146.88,130.3,11.02
2014-06-08,241.11,209.99,193.14,169.48,167.41,147.88,123.32,7.74
2014-06-15,211.28,198.38,203.02,168.07,170.11,143.17,127.04,10.05
2014-06-22,217.22,198.24,222.06,174.25,154.27,151.24,131.46,14.46
2014-06-29,220.84,207.57,184.86,178.9,155.91,152.29,126.82,16.9
2014-07-06,256.49,232.14,217.82,197.37,178.13,179.29,161.09,15.01
2014-07-13,251.19,231.45,205.61,204.44,181.12,180.55,160.21,14.75
2014-07-20,255.76,226.54,231.76,202.12,193.55,178.89,152.62,18.02
2014-07-27,242.14,222.25,228.85,206.9,188.42,180.27,162.48,12.86
2014-08-03,300.3,292.83,281.96,244.7,247.93,240.76,212.7,10.88
2014-08-10,292.85,281.17,265.23,245.48,239.75,238.02,209.3,7.29
2014-08-17,307.24,292.96,262.54,251.67,237.02,240.7,209.45,17.59
2014-08-24,294.94,279.09,270.98,248.88,237.31,233.37,216.8,11.19
2014-08-31,311.11,277.97,263.79,239.71,249.02,227.28,209.68,13.59
2014-09-07,397.21,369.03,393.67,363.93,338.4,343.58,311.57,10.75
2014-09-14,386.73,375.32,372.75,352.19,341.09,323.43,315.94,13.68
2014-09-21,413.06,372.46,380.65,361.62,341.96,327.16,307.67,14.11
2014-09-28,412.84,378.47,375.71,347.56,340.54,333.68,311,7.97
2014-10-05,707.91,677.68,662.14,638.76,645.92,624.93,609.22,620.14
2014-10-12,694.28,680.5,673.34,643.92,655.83,625.9,611.72,612.73
2014-10-19,718.41,688.4,677.1,646.13,637.8,625.1,613.3,615.63
2014-10-26,700.94,678.93,668.89,651.52,644.77,625.08,610.99,616.26
2014-11-02,403.71,399.29,372.21,354.33,342.1,338.36,308.68,16.01
2014-11-09,415.23,393.99,377.78,343.58,342.6,330.82,309.93,13.51
2014-11-16,412.51,381.37,388.94,351.16,340.39,337.58,309.91,16.94
2014-11-23,400.86,388.66,370.72,362.63,343.33,330.54,309.43,11.65
2014-11-30,399.22,376.76,356.32,354.73,351.19,330.22,308.76,9.99
2014-12-07,307.38,271.69,282.2,241.89,251.06,233.69,204.33,10.05
2014-12-14,302.64,290.43,271.13,246.47,246.08,240.61,213.33,8.72
2014-12-21,295.62,295.42,271.19,254.73,253.1,227.22,214.09,7.93
2014-12-28,302.28,276.36,264.17,257.36,242.1,225.54,208.32,9.24
2015-01-04,269.5,251.4,247.06,212.05,202.77,197.85,174.78,9.86
2015-01-11,267.07,237.63,236.24,207.17,217.03,185.01,174.07,18.1
2015-01-18,250.7,238.17,233.46,211.17,195.54,194.99,175.07,16.65
2015-01-25,268.8,244.04,242.11,214.47,200.37,196.49,173.84,13.27
2015-02-01,225.9,213,210.98,186.89,168.73,159.27,141.19,13.2
2015-02-08,238.34,198.3,211.22,183.37,168.24,159.89,139.78,8.91
2015-02-15,233.31,228.08,220.9,183.14,159.37,154.03,137.21,15.74
2015-02-22,240.17,204.96,175.59,182.24,158.76,162.71,139.59,13.56
2015-03-01,216.06,201.87,169.71,153.88,150.65,131.3,116.39,10.95
2015-03-08,188.71,196.31,183.81,142.95,142.68,146.26,117.38,13.5
2015-03-15,233.68,180.03,207.03,165.66,154.69,139.1,124.18,15.25
2015-03-22,214.53,173.02,180.94,160.64,141.31,136.3,121.13,8.91
2015-03-29,214.27,187.33,178.37,154.24,148.4,139.18,121.12,11.47
2015-04-05,197.29,164.79,162.14,139.03,155.42,113.78,98.3,17.85
2015-04-12,204.71,190.44,159.03,152.92,133.72,120.49,97.74,19.43
2015-04-19,199.65,177.96,171.23,139.71,129.82,139,101.09,15.69
2015-04-26,198.21,170.9,159.64,140.33,143.4,128.96,103.75,12.44
2015-05-03,209.72,184.84,175.23,155.31,153.46,139.57,115.02,9.75
2015-05-10,209.5,186.56,178.12,158.66,148.88,131.91,115.24,7.73
2015-05-17,202.4,184.12,189.55,163.99,151.34,136.73,118.76,9.65
2015-05-24,218.86,196.57,196.45,160.43,144.15,124.75,116.43,16.48
2015-05-31,217.18,192.11,178.36,152.75,154.03,133.64,115.65,13.76
2015-06-07,243.1,221.8,209.77,185.94,167.26,160.66,139.99,6.08
2015-06-14,232.75,223.96,202.95,174.92,176.63,161.06,135.6,15.02
2015-06-21,252.12,204.28,192.14,184.45,177.3,156.61,137.45,10.81
2015-06-28,231.43,218.93,202.07,179.86,165.93,163.25,137.14,11.9
2015-07-05,269.54,245.43,217.94,214.36,197.91,198.53,172.67,14.89
2015-07-12,264.52,245.57,236.97,199.02,207.8,182.37,165.87,12.78
2015-07-19,264.28,243.78,220.25,210.19,199.97,186.56,171.25,10.4
2015-07-26,240.72,243.41,221.67,204.76,191.5,186.1,166.79,16.06
2015-08-02,331.53,317.29,280.29,255.54,254.17,249.33,222.74,14.67
2015-08-09,303.87,296.79,283.11,267.89,260.02,242.74,221.81,11.74
2015-08-16,310.36,295.02,291.76,251.21,251.17,236.98,226.1,21.72
2015-08-23,323.52,301.67,270.7,264.24,258.35,248.67,229.8,12.08
2015-08-30,320.09,304.41,279.57,263.39,253.76,245.17,230.74,11.93
2015-09-06,452.12,410.8,390.69,365.3,362.15,348.61,330.58,9.5
2015-09-13,413.08,402.74,389.74,359.15,361.13,357.83,332.64,10.73
2015-09-20,439.16,407.83,389.8,367.99,360.59,355.69,326.23,11.26
2015-09-27,419.93,409.73,388.75,380.68,355.89,355.48,329.32,10.83
2015-10-04,746.41,723,720.42,687.7,685.16,676.06,650.46,653.16
2015-10-11,741.82,719.56,710.13,692.78,681.58,667.56,651.99,658.61
2015-10-18,730.29,710.2,701.86,693.86,664.99,668.9,650.78,649.58
2015-10-25,732.78,723.45,730.84,696.57,678.07,662.35,651.47,645.24
2015-11-01,415.82,406,398.62,379.02,356.87,348.77,329.27,19.73
2015-11-08,413.32,412.9,393.72,368.11,364.09,353.33,324.75,11.17
2015-11-15,441.19,399.2,395.75,373.06,353.24,347.49,331.4,11.76
2015-11-22,406.53,407.99,412.52,371.74,357.44,355.46,329.74,8.58
2015-11-29,417.47,392.78,398.58,376.27,354.03,351.73,332.51,15.39
2015-12-06,299.06,302.52,292.78,264.73,254.4,242.05,220.4,8.7
2015-12-13,329.17,295.86,293.58,264,237.48,240.13,220.09,12.11
2015-12-20,320.16,308.7,286.6,274.13,255.21,247.99,222.75,12.6
2015-12-27,303.47,296.07,289.93,276.12,268.49,249.02,228.36,4.2
2016-01-03,274.31,249.71,243.24,212.82,200.2,187.09,179.05,8.44
2016-01-10,270.64,234.97,232.63,218.53,202.61,197.32,178.86,16.16
2016-01-17,269.59,252.53,233.93,225.11,215.38,198.45,176.91,9.09
2016-01-24,266.76,236.07,236.6,218.19,207.81,193.71,171.62,14.43
2016-01-31,283.04,253.29,246.48,212.31,209.49,202.49,171.71,19.81
2016-02-07,216.39,215.72,196.06,181.64,175.31,164.49,138.56,14.97
2016-02-14,242.88,230.67,214.38,184.6,179.02,161.51,143.66,9.94
2016-02-21,236.42,202.62,197.31,188.92,181.39,158.74,145.89,8.11
2016-02-28,230.64,218.69,226.25,186.36,174.2,165.45,139.28,14.32
2016-03-06,218.69,202.33,169.18,154.96,151.05,141.14,119.03,8.42
2016-03-13,205.47,187.24,170.75,158.77,160.15,133.85,120.69,12.54
2016-03-20,230.54,200.56,188.34,169.16,156.33,140.19,122.24,11.48
2016-03-27,225.3,207.66,183.93,151.78,159.1,143.19,126.04,7.89
2016-04-03,192.58,175.11,158.81,141.43,139.52,132.77,105.79,18.76
2016-04-10,206.4,163.86,161.65,153.61,146.35,133.44,107.87,12.97
2016-04-17,203.02,177.29,155.64,138.39,149.18,131.66,99.38,11.97
2016-04-24,205.01,175.79,163.74,141.68,135.12,121.98,103.49,11.37
2016-05-01,207.14,168.62,180.53,158.6,152.6,141.6,116.25,14.87
2016-05-08,192.41,194.75,182.29,169.49,154.55,137.54,119.95,13.82
2016-05-15,207.61,205.97,185.97,175.03,159.01,148.42,116.51,15.09
2016-05-22,203.45,208.89,173.75,155.83,152.6,135.22,119.29,13.17
2016-05-29,213.82,181.1,178.56,163.65,145.7,147.11,121.96,14.96
2016-06-05,220.7,222.21,202.2,188.49,179.99,157.22,138,11.11
2016-06-12,213.59,224.75,195.28,188.68,175.93,165.14,145.71,10.71
2016-06-19,238.4,206.06,206.57,184.51,181.22,161.72,145.67,14.74
2016-06-26,241.53,204.67,199.64,180.24,174.48,162.24,140.28,10.75
2016-07-03,271.71,241.08,226.38,206.43,212.57,195.07,178.78,11.4
2016-07-10,275.94,259.12,229.92,210.93,204.87,187.59,175.28,13.46
2016-07-17,258.7,250.37,223.57,219.08,214.81,201.54,173.6,12.58
2016-07-24,283.55,240.49,230.7,215.93,201.84,199.7,176.71,12.93
2016-07-31,255.91,241.85,238.11,220.93,196.28,190,171.92,13.43
2016-08-07,306.81,302.29,292.87,275.1,270.01,252.65,232.14,11.67
2016-08-14,322.07,297.81,284.79,261.12,267.87,249.43,229.51,13.52
2016-08-21,310.34,303.15,297.59,268.11,258.75,256.63,235.26,20.64
2016-08-28,327.35,334.84,293.17,279.54,261.57,243.6,235.02,15.15
2016-09-04,445.83,406.15,392.31,392.37,372.46,359.31,343.73,7.82
2016-09-11,434.33,409.81,404.12,385.99,365.45,366.77,339.31,15.03
2016-09-18,420.09,398,408.04,379.39,355.43,364.95,338.72,12.11
2016-09-25,432.15,387.43,407.2,386.39,359.99,353.64,337.74,11.97
2016-10-02,752.73,749.91,725.46,717.79,708.77,685.7,667.47,672.92
2016-10-09,775.45,723.61,735.77,709.77,693.5,677.86,675.48,674.33
2016-10-16,759.34,759.63,743.7,720.11,702.92,685.7,677.99,669.55
2016-10-23,770.41,739.9,732.69,705.41,700.39,681.93,672,672.71
2016-10-30,753.35,750.26,720.73,716.87,704.04,699.61,671.8,667.77
